Census Tract,Year,Population,Total Laborforce,% of Total Laborforce,Drove Alone,Carpool,Public Transit,Bike,Walk,Other Mode,Work at Home
Citywide,1990,95802,52355,100,37.7,7.5,23.4,2.9,24.2,0.9,3.4
Citywide,2000,101355,54979,100,35.3,5.2,24.9,3.9,24.3,1.1,5.3
Citywide,2006-2010,103506,56910,100,30.7,4.6,28.1,6.8,22.7,1.1,6.1
3521,1990,2098,1115,2.1,45.8,5.9,22.7,5.3,19.1,0.4,0.5
3521,2000,3042,1504,2.7,39.4,7,25.3,1.7,20.9,2.3,3.3
3521.01,2006-2010,2807,900,1.6,25.6,0.4,22.2,3.9,28.3,5.6,14.4
3521.02,2006-2010,2948,1215,2.1,40.3,7.3,25.5,4.1,16.9,1.7,4.1
3521,2006-2010,3777,2115,3.7,34,4.4,24.1,4,21.7,3.3,8.5
3522,1990,1736,717,1.4,36.7,11.3,30.7,2.5,15.1,1,2.5
3522,2000,2021,907,1.6,35,6.8,25.2,2.2,29.9,0.4,0.4
3522,2006-2010,2003,1035,1.8,24.6,3.4,19.3,15,29.5,0,8.7
3523,1990,1946,1258,2.4,36.2,6.7,28.2,3.5,24.1,0,1.3
3523,2000,2229,1360,2.5,37.4,6.8,22,3.3,25.4,2.2,2.9
3523,2006-2010,2945,1670,2.9,33.2,1.2,31.4,6.3,24.9,0,3
3524,1990,2108,693,1.3,34.1,3.5,34.5,4.2,23.8,0,0
3524,2000,1942,961,1.7,22.5,10.5,33,2,24.2,5.2,2.6
3524,2006-2010,2160,930,1.6,22,4.3,31.7,5.4,29,5.4,2.2
3525,1990,2636,1381,2.6,40.5,5.9,26.5,4.6,19.4,1.4,1.5
3525,2000,3312,1797,3.3,28,3.7,37.2,7.8,16.4,1.9,5
3525,2006-2010,3348,2120,3.7,28.8,7.3,21.9,12.3,28.5,0.5,0.7
3526,1990,2664,1435,2.7,42.8,18.5,16.9,1.9,19.9,0,0
3526,2000,2652,1346,2.4,43.2,10.8,17.2,2.2,23.8,1.3,1.5
3526,2006-2010,2615,1755,3.1,25.1,5.7,20.2,14,31.9,1.1,2
3527,1990,2296,1174,2.2,44.5,12.9,22,1.3,14.1,4.2,1
3527,2000,2407,1091,2,33.6,10.7,24,4.7,21.9,2.7,2.3
